CID,IsomericSMILES,Descriptors,MolecularWeight,Descriptor Count
15210716,CC(=O)OCCCCS,savory;fruity,148.055800624,2
15219341,CC(C(C)C(C)O)C(C)C(C)(C)C,herbal;animal,186.198365452,2
15225386,COC(=O)CCSCC1=CC=CO1,savory;fruity;earthy,200.050715244,3
15289599,CCOC(=O)C(C)CS,savory;fruity,148.055800624,2
15328358,CCCCCCCOCCC1=CC=CC=C1,flower;earthy,220.182715388,2
15369664,CC1CCC(C(C1)O)C(=O)C,fruity;flower,156.115029752,2
15376222,CC/C=C/CCCCOC(=O)CC,fruity;green,184.14632988,2
15405345,C=CCCC(=O)C1=CC2(CCCC2)CCC1,fruity;green,218.167065324,2
15410529,CC1=CC=C(C=C1)C(C)(C)S,savory;fruity,166.081621448,2
15420665,CCCC(=O)SCC=C,savory;fruity,144.060886004,2
15461361,CC/C=C\CCOC(=O)/C(=C/C)/C,savory;earthy;fruity;green,182.130679816,4
15480666,C1CCC2CC(CCC2C1)C=O,animal,166.135765196,1
15511119,C/C=C/C(=O)/C(=C(\C)/C(C)C)/C,alcohol;savory;fruity;flower,166.135765196,4
15517020,CCSCC/C=C(\CC(=O)C=C)/C1=CC=CC=C1,animal,260.12348626,1
15540144,CCOC(=O)SCC1=CC=CO1,savory;flower,186.03506518,2
15553243,CCSC(=O)CNC(=O)C,savory,161.051049592,1
15558051,C1=CC=C(C=C1)COC(=O)/C=C\C2=CC=CC=C2,fruity;flower,238.099379688,2
15559490,C[C@@H]1CCC[C@]2([C@]1(CCCC2)O)C,animal;earthy,182.167065324,2
15570693,C1C2=CC=CC=C1N=CC=C2,savory;herbal,143.073499288,2
15584855,CC(C)C(CC1=CC=CC=C1)OC(=O)C,fruity;green,206.130679816,2
15606649,CC(C)CC1=CC=C(C=C1)CCC=O,flower,190.135765196,1
15640305,C[C@H]1CCO[C@H](C1)C2=CC=CC=C2,green;flower,176.120115132,2
15662052,C1=CC=C(C=C1)CCC(=O)C2=CC=CN2,savory,199.099714036,1
15667721,CC(C)CCSSSCCC(C)C,savory,238.088363704,1
15683411,CC1=CC=C(C=C1)/C=C(\C)/CO,spices;flower,162.104465068,2
15701285,CCC(C)C(=O)C(=O)CC,fruity,142.099379688,1
15701356,CCCC(=O)C(CC)OC,savory;fruity,144.115029752,2
15743318,CCCSSCC1=CC=CO1,savory,188.032957004,1
15775286,CCCCC[C@H]1[C@@H](CCC1=O)C(=O)OC,green;flower,212.1412445,2
15775309,C[C@@H]1CC[C@H](C(=O)C1)C(C)(C)SC(=O)C,herbal,228.11840088,1
15790652,C1CC2CC1C3C2CC(C3)C=O,green,164.120115132,1
15801179,CC(=O)C1CCC=N1,savory,111.068413908,1
15824502,CC/C=C\CCC(=O)OCC,fruity;green,156.115029752,2
15825562,CCOC(=O)C1C(O1)C2=C(C=C(C=C2)C)C,fruity;flower,220.109944372,2
15825563,CCOC(=O)C1C(O1)C2=C(C=C(C=C2)C(C)C)C(C)C,animal,276.172544628,1
15825653,CC(C)OC1=C(C=CC(=C1)C=O)O,savory,180.078644244,1
15825667,CCCCC[C@H]1[C@@H](O1)/C=C/C=O,aquatic;green,168.115029752,2
15897831,C=CCCC(=O)C(=C)C1CCCCC1,aquatic;herbal;fruity;green,192.15141526,4
15928905,CCCCC=COC,green,114.104465068,1
15953432,CCCCCC1=C(COC1=O)C,fruity;flower,168.115029752,2
15983960,C[C@@H]1CC[C@H]([C@@H]2[C@H]1CCC(=C2)C)C(=C)CO,green,220.182715388,1
15984303,CC1=CCC(C1(C)C)/C=C/C(C)(C)C(C)O,fruity;herbal;woody;flower,222.198365452,4
16058296,CC(C)[C@@H](CCC(=O)C)/C=C/C(=C)C,herbal;fruity,194.167065324,2
16063533,CC1=CCC(C1(C)C)C(=C)CC(C)CO,woody,208.182715388,1
16063567,CCC(=O)OCC(C)(C)OC(C)C1CCCC(C1)(C)C,animal;fruity;flower,284.235144884,3
16063805,CCCOC(=O)[C@H](C)OC(C)(C)CC,aquatic;herbal;fruity;flower,202.156894564,4
16070752,CCC(C)C1(COC(OC1)C2CCC(=CC2C)C)C,flower;animal;earthy,266.2245802,3
16081706,CC1=C(C(=O)C(CC1)(C)CC=C(C)C)C,herbal;fruity,206.167065324,2
16081707,CC1=CCCC(C1=O)(C)CC2=CC=CC=C2,herbal;fruity;flower,214.135765196,3
16081708,CC1CC(C(=O)C(=C1)C)(C)CC=C(C)C,aquatic;herbal;fruity;flower,206.167065324,4
16204499,CSC/C(=C/C1=CC=CC=C1)/C=O,savory;green,192.060886004,2
16204529,CC(C)CC(=O)OCCC(C)CCCC(=C)C,fruity;flower,240.208930136,2
16204532,C1CCC(CC1)CC2=NC=CN=C2,savory;earthy;animal;green,176.131348512,4
16205025,CC1=C2C=CC=CC2=C(O1)C(=O)C,fruity;flower,174.06807956,2
16205250,CCCCCCC(=O)OC(C)(CCC=C(C)C)C=C,green;flower,266.2245802,2
16205306,CC(C)CC(CC1=CC=CC=C1)OC(=O)C,green;fruity;flower,220.14632988,3
16205339,CC(CC(=C)C)OC(=O)C1=CC=CC=C1O,green;flower,220.109944372,2
16205456,C/C=C(/C)\C(=O)OCCC(C)C=C,spices;fruity;green,182.130679816,3
16205756,C/C=C/C(=O)OC(C)(C)CC1=CC=CC=C1,herbal;fruity,218.130679816,2
16205802,CCCC(=O)OC1=C(OC=CC1=O)CC,savory;fruity,210.089208928,2
16205868,CCCC(=O)OC1CC(CC=C1C)C(=C)C,herbal;fruity,222.161979944,2
16206001,CCC(=O)OC(C)(C)CCCC(=C)C=C,aquatic;fruity,210.161979944,2
16206258,CC1CCC(C(C1)C(C)(C)C)OC(=O)C,fruity;flower,212.177630008,2
16213731,C[C@@H]1CC[C@@H]2[C@@H](C2(C)C)C3=C(CCC13)C,savory,204.187800768,1
16213732,C[C@@H]1CC[C@H](C=C2C1CC[C@H]2C)C(=C)C,animal,204.187800768,1
16220109,CC/C=C\CCOC(=O)/C(=C\C)/C,savory;green;herbal;earthy;fruity;flower,182.130679816,6
16220110,CC/C=C\CCOC(=O)/C=C/C,savory;fruity;green,168.115029752,3
16220111,C[C@@H]1CC[C@@H]2[C@@]13C[C@H](C2(C)C)C(=C(C3)C(=O)C)C,herbal;animal,246.198365452,2
16224907,CCCC/C=C\CCCC1CCCC(=O)O1,fruity,224.177630008,1
16664423,CC1(CSSSS1)C,savory,183.950884256,1
16667664,C[C@H](C=O)[C@H]1CC[C@@](O1)(C)C=C,flower,168.115029752,1
16723410,C/C=C\CCCCCCCC#N,aquatic;fruity;flower,165.151749608,3
16751505,CCC(=O)/C=C/[C@H]1C(=CCCC1(C)C)C,flower,206.167065324,1
17245138,CC1=CC(=C(C=C1)CC(=O)OC)C,fruity;flower,178.099379688,2
17785623,CCCCCCCOCCCC,savory;aquatic;green,172.182715388,3
17804473,CC(CCC1=CC=CC=C1OC)O,savory;green;flower,180.115029752,3
17822157,CCCC(=O)CSC,savory;fruity,132.060886004,2
17824126,CC1C2CCC(C2)(C1(C)C)C3(CCCCC3)O,woody,236.214015516,1
17839535,CC(CCCC(C)CO)CCC=C(C)C,flower,212.214015516,1
17839537,CC1C2=C(CCCC2(C)C)CCC1(C)C(=O)C,animal;flower,234.198365452,2
17867063,CC1C2=C(C=CC=C2OC1=O)C,spices;herbal;fruity,162.06807956,3
17877030,CC1=C(C=CC(=C1)CC(C)C)CCC=O,aquatic;green;flower,204.15141526,3
17894801,CCOC1CCC(CC1)C,spices;herbal;flower,142.135765196,3
17972365,CC(C1CCCC(C1)(C)C)OC(C)(C)COC(=O)C=C,animal;fruity,282.21949482,2
17977981,CCCOS(=S)C,savory;aquatic,138.01730694,2
18000835,CCCCC1=CN=CO1,savory;animal,125.084063972,2
18159637,COC1=C(C=C(C=C1)/C=C/C(=O)NCCC2=CC3=C(C=C2)OCO3)OC,savory,355.141972772,1
18185507,CCC(S)SC(CC)S,savory;fruity,182.025763448,2
18316924,CCCCC(C)C(C)(O)O,herbal,146.130679816,1
18320302,CC(C)CCCC1CCC(=O)CC1,herbal;flower,182.167065324,2
18356806,CCC(C)(C)C1CCC(C(C1)C)O,earthy,184.182715388,1
18356807,CC(C)CCC1CCC(CC1)O,fruity;flower,170.167065324,2
18363691,CC(=O)OC(C1=CC=CC=C1)O,green;flower,166.06299418,2
18373617,C1=CC=C(C=C1)OCO,flower,124.052429496,1
18381284,CCCCCCCCCCOC(=O)C(=O)C,alcohol;savory;herbal,228.172544628,3
18386660,CC(C)(C(=O)[O-])C(=O)OC,alcohol;aquatic;fruity,145.05063234791,3
18406334,C1CCCOC(=O)OCCC1,herbal,158.094294308,1
18433856,CC(CCC#N)C1CCCC1,green;flower,151.136099544,2
18459387,CCCCCCCCCCCCC1(CCCCC1)O,flower,268.276615772,1
18539813,CC1OCCC(S1)(C)C,savory;herbal;fruity;green,146.076536068,4
18539814,CCC1OCCC(S1)(C)C,savory;herbal;fruity,160.092186132,3
18539818,CC1(CCOCS1)C,savory;herbal;fruity,132.060886004,3
18598146,CCC1CCC2(CC1)CCC(=O)O2,spices;fruity,182.130679816,2
18677383,CC(C)(C)C1=C(C(=CC(=C1)C=O)[N+](=O)[O-])OC,herbal;animal,237.10010796,2
18696447,CC(C)CCC(=O)OCC=C,fruity,156.115029752,1
18699577,CCC1=C2C=CC(=O)OC2=CC=C1,savory;herbal,174.06807956,2
18705074,CC(C)C1=CC(=CC(=C1)C(=O)C)C(C)C,alcohol;herbal;animal,204.15141526,3
18718393,CCC(C)COC(=O)CC(C(=O)OCC(C)CC)O,alcohol;savory;fruity,274.17802393200003,3
18728905,CCC(C)C(=O)OC(C)CO,aquatic;fruity,160.109944372,2
18728909,CCC(C)C(=O)OCCCCO,fruity,174.125594436,1
18757749,CC(C)CCCCOC(=O)C(C)C,alcohol;herbal;fruity,186.161979944,3
18934410,CCCCCCCCCC(O)O,animal,174.161979944,1
18955245,CC(CO)COC1CC2CCC1(C2(C)C)C,animal,226.193280072,1
18974564,CCC(C)(C)C1CCC(CC1)OCC,aquatic;green,198.198365452,2
19022215,CCCC(=O)OCCCCO,fruity,160.109944372,1
19425778,CCCC(=O)OC1=CC=CO1,savory;fruity,154.06299418,2
19693163,CC(C)CCCCCCCCCCOC(/C=C(\C)/CCC=C(C)C)OCCCCCCCCCCC(C)C,aquatic;fruity;green,534.53758148,3
19693420,CCCCCCCCOCCCCCCC,green;earthy,228.245315644,2
19693430,CCCCCCCCCCCOCCCCCCC,aquatic,270.292265836,1
19693442,CCCCCCCCCCOCCCCCCC,green,256.276615772,1
19702290,C1CCCCCOC(=O)CC(=O)OCCCC1,animal,242.151809184,1
19737259,CCC(CS)C(=O)OCC,fruity,162.071450688,1
19782729,CC(=O)C1=NC=CO1,savory,111.0320284,1
19792960,CCC1CC2CC1CC2OC,herbal;fruity;green,154.135765196,3
19802217,CC(C)C(C(=O)C)S,fruity,132.060886004,1
19815003,CC(CC(NC1=CC=CC=C1C(=O)OC)O)C2=CC=CC=C2,green;flower,299.152143532,2
19820742,CCC(C)C(=O)S,savory;fruity,118.04523594,2
19830424,CC1C2CC3CC1C(C(C2)C3=C)OC(=O)C,herbal;animal,220.14632988,2
19838537,C1CCCCCCCC2C(O2)CCCCCC1,animal,238.22966558,1
19857768,CCCC(=O)OC(C)CC1=CC=CC=C1,flower,206.130679816,1
19863975,CCC(C)CN1C=CC=C1,green,137.12044948,1
19871663,CC(C)CCC(C)C(C)O,green;flower,144.15141526,2
19872333,CCCC(=O)OC1=C(OC(C1=O)C)C,earthy;aquatic;fruity;green,198.089208928,4
19876973,CCCCC1C(O1)C=O,fruity;green,128.083729624,2
19892555,CC(C)CCOC(C=O)(C1=CC=C(C=C1)O)OCCC(C)C,fruity,308.198759376,1
19963983,CCC(OCC(C)C)OCC(C)C,alcohol;savory;aquatic;green,188.177630008,4
19964035,CCC(OCC)OCC(C)C,alcohol;aquatic;green,160.14632988,3
19964037,CCC(OC)OCC,alcohol;aquatic,118.099379688,2
19986620,CC1=CC(=C(C(=C1)C(C)C)O)C,herbal;green,164.120115132,2
19989124,CCCCC(O)S,savory;fruity;green,120.060886004,3
19993347,CCCCCCC1COCC(=O)O1,savory;animal,186.125594436,2
20069191,CCCCCCCOC(C)(CCC=C(C)C)C=C,green;herbal;earthy,252.245315644,3
