CID,IsomericSMILES,Descriptors,MolecularWeight,Descriptor Count
6544,CC1=CC(=O)CC(C1)(C)C,camphor;honey,138.104465068,2
6548,CCC(C)(CCCC(C)C)O,green;wood;powdery;floral;oil,158.167065324,5
6549,CC(=CCCC(C)(C=C)O)C,citrus;floral;lily,154.135765196,3
6549,CC(=CCCC(C)(C=C)O)C,citrus;wood;floral,154.135765196,3
6561,CC(C)C=O,sour;banana;fruit,72.057514876,3
6562,CC(=C)C=O,herb;gasoline;balsamic;orange,70.041864812,4
6568,CCC(C)O,oil,74.07316494,1
6569,CCC(=O)C,ether,72.057514876,1
6570,CC(=O)C=C,ether,70.041864812,1
6584,CC(=O)OC,ether;fruit,74.036779432,2
6590,CC(C)C(=O)O,acid;buttery;sour;fruit,88.052429496,4
6612,CC1=CCCC(C1C=CC(=O)CCC=C)(C)C,green;wood;fruit;floral;oil,232.182715388,5
6616,CC1(C2CCC(C2)C1=C)C,camphor;oil,136.125200512,2
6643,CCC(C)(C)C1=CC=C(C=C1)O,medicine;phenol;leather,164.120115132,3
6651,CC1(CCC(CC1)C(C)(C)O)O,camphor;pine;anise;medicine,172.14632988,4
6653,CCOC(=O)C(C)(C)O,mint;green,132.078644244,2
6654,CC1=CCC2CC1C2(C)C,herb;pine;aromatic,136.125200512,3
6657,CCC(C(=O)O)N,caramel,103.063328528,1
6669,CC1=C(C(=C(C(=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C)C(=O)C,animal;floral;musk;amber,294.121571676,4
6735,C1CC(=O)C2=CC=CC=C21,medicine;wood,132.057514876,2
6736,CC1=CNC2=CC=CC=C12,animal,131.073499288,1
6753,CC1=C(C=C(C(=C1[N+](=O)[O-])OC)C(C)(C)C)[N+](=O)[O-],floral;musk,268.10592161200003,2
6826,CNC1=CC=CC=C1C(=O)OC,orange-blossom;musk;fruit;floral;wine,165.078978592,5
6835,COC1=CC=CC=C1C2=CC=CC=C2,green;rose;fruit,184.088815004,3
6873,CC(C)COC(=O)C1=CC=CC=C1O,herb;floral,194.094294308,2
6874,CC(C)CCOC(=O)C1=CC=CC=C1O,green;earthy;wood;floral;herb,208.109944372,5
6877,CCOC(=O)C1=CC=CC=C1N,grape;fruit,165.078978592,2
6881,C1=CC=C(C=C1)C=CCOC(=O)C2=CC=CC=C2N,floral;rose;fruit,253.11027872,3
6915,CCC(CC)C(=O)O,oil;fruit,116.083729624,2
6930,CCC1=CC2=C(C=C1C(=O)C)C(CCC2(C)C)(C)C,musk;cream,258.198365452,2
6937,CC1=CC(=C(C=C1)C(C)(C)C)O,wood;leather,164.120115132,2
6944,CC1=CC=CC=C1[N+](=O)[O-],herb;spice;almond,137.047678464,3
6949,CC1CCC(=C(C)C)CC2=C1CCC2C,wood;balsamic;peppery,204.187800768,3
6985,CC1=CC(=C(C=C1)C(=O)C)C,wood;floral;mimosa,148.088815004,3
6986,CC1CCC(C(=O)C1)C(C)C,wood;mint,154.135765196,2
6986,CC1CCC(C(=O)C1)C(C)C,mint,154.135765196,1
6987,CC1=CC(=O)C(CC1)C(C)C,camphor;herb;mint;tobacco,152.120115132,4
6989,CC1=CC(=C(C=C1)C(C)C)O,tarry;herb;medicine,150.104465068,3
6997,CCC1=CC=CC=C1O,tarry;smoky;medicine,122.07316494,3
6998,C1=CC=C(C(=C1)C=O)O,phenol;floral;hay;herb;spice,122.036779432,5
7012,CCC(C1=CC=CC=C1)C(=O)O,floral;honey,164.083729624,2
7016,C1CCC(CC1)C2CCCCC2=O,herb;mint,180.15141526,2
7037,C1=CC=C(C=C1)C(C2=CC=CC=C2)O,rose;musk,184.088815004,2
7043,COC1=CC=CC=C1OC,vanilla;cream,138.06807956,2
7047,C1=CC=C2C(=C1)C=CC=N2,anise,129.057849224,1
7059,CC1=CC2=C(C=C1)N=CC=C2,animal;floral,143.073499288,2
7060,CC1=NC2=CC=CC=C2C=C1,herb;oil,143.073499288,2
7092,CC1=CC2=C(C=C1)OC(=O)C=C2,herb;fruit,160.052429496,2
7094,C1CCC(CC1)C2CCCCC2,aromatic,166.172150704,1
7095,C1=CC=C(C=C1)C2=CC=CC=C2,geranium;gasoline;green;metal,154.07825032,4
7122,CC(=O)C1=CC2=CC=CC=C2C=C1,orange-blossom;fruit,170.07316494,2
7127,COC1=C(C=C(C=C1)CC=C)OC,earthy;musk;herb;spice;tea,178.099379688,5
7128,CC=CC1=CC(=C(C=C1)OC)OC,medicine;phenol;vanilla,178.099379688,3
7128,CC=CC1=CC(=C(C=C1)OC)OC,floral;spice;tea,178.099379688,3
7130,CC(C)CC1=NC2=CC=CC=C2C=C1,moss;earthy;wood;amber;spice,185.12044948,5
7130,CC(C)CC1=NC2=CC=CC=C2C=C1,earthy;tarry;moss;root,185.12044948,4
7136,CC(=O)OC1=C(C=C(C=C1)CC=C)OC,balsamic;earthy;fruit;floral;leaf;spice,206.094294308,6
7144,CC1=CC(=C(C=C1)O)OC,balsamic;phenol;leather;floral;vanilla;medicine;spice,138.06807956,7
7144,CC1=CC(=C(C=C1)O)OC,smoky,138.06807956,1
7146,CC(C=O)C1=CC=CC=C1,lilac;green;earthy;hyacinth;fruit;floral,134.07316494,6
7147,CCC(C1=CC=CC=C1)O,floral;balsamic,136.088815004,2
7148,CCC(=O)C1=CC=CC=C1,herb;floral,134.07316494,2
7149,C1=CC=C(C=C1)C(CO)O,floral,138.06807956,1
7150,COC(=O)C1=CC=CC=C1,floral;fruit,136.052429496,2
7151,COC(=O)C1=CN=CC=C1,herb;tobacco,137.047678464,2
7165,CCOC(=O)C1=CC=CC=C1,floral;fruit,150.06807956,2
7166,CC(=O)CC(=O)C1=CC=CC=C1,balsamic;vanilla,162.06807956,2
7169,C1=CC=C(C=C1)C(=O)OC2=CC=CC=C2,floral;balsamic;green;metal,198.06807956,4
7189,C1=CC=C(C=C1)C=CC(=O)C2=CC=CC=C2,herb;floral;balsamic,208.088815004,3
7194,C1=CC=C(C=C1)CCOC(=O)C2=CC=CC=C2,balsamic;honey;floral;leaf;rose,226.099379688,5
7196,C1OC2=C(O1)C=C(C=C2)C(=O)O,animal;balsamic,166.026608672,2
7224,CC1=CC2=CC=CC=C2N1,animal,131.073499288,1
7225,CC1=NC2=CC=CC=C2O1,floral;gasoline,133.052763844,2
7237,CC1=CC=CC=C1C,gasoline,106.07825032,1
7268,CCOC(=O)C(=O)OCC,herb;musk;mushroom,146.0579088,3
7276,C1C(O1)C2=CC=CC=C2,gasoline;balsamic,120.057514876,2
7284,CCC(C)C=O,fruit,86.07316494,1
7288,CCC(=O)CC,ether,86.07316494,1
7302,C1CC(=O)OC1,aromatic,86.036779432,1
